How to quit vim?,q,w,z,esc
Topological sort requires what type of graph?,DAG (Directed Acyclic Graph) with no cycles
Union-Find path compression?,Point node directly to root during find: parent[x] = find(parent[x])
Array.from({length: n}) creates what?,Array of n undefined elements (useful for DP initialization)
Why Array(n).fill().map() instead of just map()?,map() skips empty slots - fill() makes them undefined first
Check palindrome without extra space?,Two pointers: while(left<right) if(s[left++] !== s[right--]) return false
Trie node structure?,"{children: Map(), isEnd: false}"
Min-heap parent formula?,Math.floor((i-1)/2)
Min-heap children formulas?,Left: 2*i+1  Right: 2*i+2
Set union?,new Set([...setA ...setB])
Set intersection?,new Set([...setA].filter(x => setB.has(x)))
Set difference A-B?,new Set([...setA].filter(x => !setB.has(x)))
Edit distance recurrence?,"Match: dp[i-1][j-1], else: 1+min(insert delete replace)"
Promise.all() fails when?,ANY promise rejects - whole thing rejects immediately
Promise.allSettled() difference?,Never rejects - returns array of {status value/reason}
Promise.race() resolves?,First promise to settle (resolve OR reject)
await vs return await?,return await only needed in try/catch to catch promise rejection
Parallel async operations?,await Promise.all(arr.map(async x => ...))
Sequential async operations?,for(const x of arr) await process(x)
Array.prototype.at(-1) does?,Access from end: at(-1)=last at(-2)=second-to-last
String.prototype.replaceAll() vs replace?,"replaceAll replaces ALL, replace only first (unless regex /g)"
Nullish coalescing operator ??,Returns right if left is null/undefined (not 0 or '')
Optional chaining edge case?,obj?.prop?.() only calls function if obj and prop exist
structuredClone() vs JSON.parse/stringify?,structuredClone handles Date Map Set circular refs
Array.prototype.findLast()?,Find last element matching predicate (iterates backwards)
Array.prototype.toSorted()?,Non-mutating sort - returns new sorted array
"What is loss, in machine learning?",A number that measures how wrong the model’s predictions are.
What is gradient descent in machine learning?,An optimization method that tweaks parameters step by step to reduce loss.
What is back propagation in machine learning?,A way to calculate gradients by moving backward through the network.
What is overfitting in machine learning?,When the model memorizes training data instead of learning patterns.
What is the R in RNN?,Recurrent—because it loops to handle sequences.
What is sequence modeling in Machine Learning?,Predicting or generating data where order matters.
What is the most basic process of creating an embedding in a Neural Network?,Mapping high-dimensional data into a dense vector space.
What makes variable sequence lengths special in neural networks and machine learning predictions?,The model must handle inputs that aren’t all the same size.
What is the back propagation algorithm?,A method to update weights using gradients via the chain rule.
Why do we need a loss function?,To measure error so the model knows what to improve.
What is the difference between loss and cost in machine learning?,Loss = error for one example; Cost = average error across all.
What is stochastic gradient descent?,Gradient descent using one (or a few) random samples per step.
What is a local minimum vs global minimum in machine learning?,Local = a small dip; Global = the deepest dip in the loss landscape.
What is convergence in Machine Learning?,When training stops improving and stabilizes.
What is a perceptron in a neutral network?,A basic linear classifier with weights and an activation.
What is a Neuron in a neural network?,"A tiny function that takes inputs, applies weights, and outputs a value."
"In machine learning, explain the difference between test data, training data, and validation data?","Training = learn, Validation = tune, Test = final check."
"In machine learning, what is a training epoch?",One full pass through the training data.
"In python, what is a data frame?",A 2D table of data with rows and labeled columns.
What is the difference between supervised and unsupervised learning for neural networks?,"Supervised = labeled data, Unsupervised = no labels."
What is a hyperparameter in machine learning?,"A setting chosen before training, like learning rate."
What is dimensionality reduction in machine learning?,Shrinking features while keeping important info.
"In machine learning, what is “attention”?",A way for the model to focus on relevant parts of the input.
"In neural networks, what is a “transformer”?",A model that uses attention instead of recurrence for sequences.
How is linear algebra used to determine the similarity between two features in a neural network?,By computing dot products or cosine similarity.
What is a “softmax” function used for in machine learning?,Turning scores into probabilities that sum to 1.
What is a “feature” in machine learning?,An input variable that represents some property of the data.
What is self-attention in machine learning?,Attention applied to the same sequence to relate its elements.
What is the “chain rule”?,A rule for finding derivatives of composite functions.
What is the difference between probability and likelihood?,Probability = chance of data given parameters; Likelihood = fit of parameters given data.
What is a matrix multiplication?,Combining two matrices by multiplying rows by columns.
"In machine learning, why is data split into training and testing sets?",To check if the model generalizes to unseen data.
What is a function?,A mapping from inputs to outputs.
What is the technical definition of the difference between correlation and causation?,Correlation = relationship; Causation = one changes because of the other.
"In machine learning, what is the “curse of dimensionality”?",High dimensions make data sparse and models harder to train.
What is the universal approximation theorem?,A neural net can approximate any continuous function with enough neurons.
Explain the “no free lunch” theorem.,No single model works best for every problem.
What is the hotkey to adjust scale?,s
