Name,Weight_oz,Parent Container,Type,Category,Subcategory,Priority,Waterproof,Worn,Notes,Tags,Condition,Amazon_URL,Last_Used,Purchase_Date,Purchase_Price,Photo_URL,Scan_3D_URL,Serial_Number,Model_Number,Brand,Location_Room,Location_Detail
CRKT Small Fixed Knife,2.5,Timbuk2 Waist Pack,Utility,Adventure,Utility,High,No,No,5,tactical;edc,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Hankerchief,0.1,Timbuk2 Waist Pack,Utility,Adventure,Utility,High,No,No,4,edc;utility,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
GE Microcassette Recorder,7.23,ARCHIVED,Creativity,Creative,Art,High,No,No,Analog recorder - in safe storage for repair,all-season;archived,Good,,2025-08-19,,,,,,,,Storage,Archived
Medical Shears,2,5.11 Rush 24 Backpack,Safety,Adventure,Safety,Medium,No,No,Trauma shears for cutting through clothing and materials in emergency medical situations,medical;emergency;tactical,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
iPhone 15 Pro Max,,Body,Utility,Adventure,Utility,High,Yes,Yes,5,edc;tech;communication,Good,,2025-08-19,,,,,,,,EDC,On person
North Face Circaloft Booties,18,Body,Comfort,Personal,Comfort,Low,No,No,Warm insulated slippers for wearing around in cold weather,alpine;cold-weather;winter,Good,,2025-08-19,,,,,,,,EDC,On person
Naked & Famous Cashmere Blend Jeans,,Body,Comfort,Personal,Comfort,High,No,Yes,5,clothing;comfort,Good,,2025-08-19,,,,,,,,EDC,On person
North Face Circaloft Hoodie,16,Body,Comfort,Personal,Comfort,High,No,No,"Mid-layer for warmth, used as jacket in fall/spring",3-season;alpine;cold-weather,Good,,2025-08-19,,,,,,,,EDC,On person
Gildan Cotton Hoodie,14.8,Body,Comfort,Personal,Comfort,High,No,Yes,3,clothing;comfort,Good,,2025-08-19,,,,,,,,EDC,On person
Uniqlo Airism Boxer Briefs,,Body,Comfort,Personal,Comfort,High,No,Yes,4,clothing;comfort,Good,,2025-08-19,,,,,,,,EDC,On person
Moletta Lionsteel Folding Black Knife,5.4,Body,Utility,Adventure,Utility,High,No,Yes,5,edc;tactical,Good,,2025-08-19,,,,,,,,EDC,On person
Arcteryx Rho Gloves,0.1,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,High,No,No,Lightweight merino wool liner gloves for cold weather layering and dexterity,cold-weather;merino;layering,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Nike ACG Air Zoom Gaiadome GORE-TEX Shoes,44.0,Body,Utility,Adventure,Utility,Medium,Yes,Yes,Waterproof hiking boots with urban style and all-terrain traction,waterproof;hiking;urban;all-terrain,Good,,2025-08-19,,,,,,,,EDC,On person
5.11 Rush 24 Backpack,128,Motorcycle,Bag,Adventure,Storage,Medium,No,No,4,tactical;storage,Good,,2025-08-19,,,,,,,,Vehicle,Motorcycle
WLF Enduro Backpack,70.5,Body,Bag,Adventure,Storage,Medium,No,Yes,4,outdoor;storage,Good,,2025-08-19,,,,,,,,EDC,On person
TYT TD-H3,10.5,WLF Enduro Backpack,Tech,Tech,Electronics,Medium,No,No,Upgraded DMR/analog dual-band radio with GPS,all-season;communications;digital,Good,,2025-08-19,,,,,,,,Storage,WLF Enduro Backpack
Baofeng UV-5R with extended antenna,10.5,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,Archived - backup radio stored at home base,all-season;archived;communications,Good,,2025-08-19,,,,,,,,Storage,Home base
Motorcycle Repair Tools + Tire Plug Kit,30,WLF Enduro Backpack,Utility,Adventure,Utility,Medium,No,No,5,repair;tools,Good,,2025-08-19,,,,,,,,Storage,WLF Enduro Backpack
Sherpa 100AC Battery,,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,Emergency power for home outages and prep,emergency;home-storage,Good,,2025-08-19,,,,,,,,Storage,Home base
Fiskars Hatchet,21.8,5.11 Rush 72 Backpack,Utility,Adventure,Utility,Medium,No,No,Wilderness survival tool for hiking/bushcraft,hiking;survival;wilderness,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 72 Backpack
Large LED Light,16,5.11 Rush 24 Backpack,Utility,Adventure,Utility,Medium,No,No,5,lighting;emergency,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Workright Gloves,2.3,5.11 Rush 24 Backpack,Utility,Adventure,Utility,Medium,No,No,3,work;protection,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Trail Marking Tape,8.2,5.11 Rush 72 Backpack,Utility,Adventure,Utility,Low,No,No,Wilderness navigation and marking,hiking;survival;wilderness,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 72 Backpack
Black 20L Big River Dry Bag,94.17,MODULAR,Bag,Adventure,Storage,Medium,Yes,No,Modular sleep system - transfers between Rush 24/72,all-season;modular;sleep;sleep-module,Good,,2025-08-19,,,,,,,,Storage,Modular system
Nemo Pillow,9.7,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,3,sleep-module-component,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Silk Bag Liner,5.1,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,3,sleep-module-component,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Nemo Quasar 3D Regular Wide Insulated Sleeping Pad,29.8,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,3,sleep;camping,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Aerogogo Gigapump,3.8,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,3,sleep;camping,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Sleeping Pad Inflator Bag,1.76,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,3,sleep;camping,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
REI Magma 30 Sleeping Bag,22.39,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,Ultralight down sleeping bag rated to 30°F for three-season backpacking,3-season;backpacking;rush24;rush72;sleep-module-component;summer;down,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Reactor Insulated Bag Liner,12.34,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,"Extreme, compact",alpine;cold-weather;winter,Good,https://www.amazon.com/gp/product/B0CT67MSSN/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
2L Dry Bag With Window,98,MODULAR,Sleep,Adventure,Sleep,Medium,Yes,No,Marmot Tungsten 2P standard tent + footprint + fly + stakes - modular camping system,all-season;modular;shelter;tent-module,Good,,2025-08-19,,,,,,,,Storage,Modular system
Dopp Kit,37.27,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Low,Yes,No,Full hygiene kit: bodywash/shampoo/conditioner bottles + Aesop accessories + grooming tools,all-season;hygiene;travel,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
First Aid Kit Dry Bag,13,5.11 Rush 24 Backpack,Safety,Adventure,Safety,Medium,Yes,No,5,medical;emergency,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Art Tools Case,20,HOME-BASE,Creativity,Creative,Art,Low,No,No,Non-waterproof case - more modular but rarely carried now,all-season;art;optional,Good,,2025-08-19,,,,,,,,Storage,Home base
Orange Ultra-sil 1L Dry Bag,10.58,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Low,Yes,No,Laundry kit: travel soap + sanitizer for multi-week motel sink washing,all-season;laundry;travel,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Hyperlite Cable Bag (1L),8,5.11 Rush 24 Backpack,Tech,Tech,Electronics,Medium,Yes,No,Replaced zipper bag - cables/adapters/connectors collection,all-season;cables;tech,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
DJI Action 5 Camera,5.1,Timbuk2 Waist Pack,Tech,Tech,Electronics,Medium,Yes,No,4K action camera for video journalism,all-season;photography;video,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Power Bag (Black 2L),27,5.11 Rush 24 Backpack,Tech,Tech,Electronics,Medium,Yes,No,Apple MacBook charger block + USB-C cable for laptop power,all-season;computing;power,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Mosko Tent Pole Drybag,53,Motorcycle,Sleep,Adventure,Sleep,Low,Yes,No,3,camping;motorcycle,Good,,2025-08-19,,,,,,,,Vehicle,Motorcycle
Camping Grill,,5.11 Rush 24 Backpack,Food,Adventure,Kitchen,Low,No,No,Ultralight foldable grill for cooking over rocks and open flames,camping;cooking;ultralight,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Excedrin,1.1,5.11 Rush 24 Backpack,Safety,Adventure,Safety,Low,Yes,No,Pain reliever tablets for headaches and general pain management,medical;pain-relief;emergency,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Small Tripod + iPhone Holder,8.18,5.11 Rush 24 Backpack,Tech,Tech,Electronics,Optional,Yes,No,Compact aluminum tripod with phone mount for stable photography and video recording,photography;tripod;smartphone;stabilization,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Nidra Sleep Mask,0.69,5.11 Rush 24 Backpack,Sleep,Adventure,Sleep,Optional,No,No,Contoured 3D eye mask with deep cups for complete light blocking without eye pressure,sleep;light-blocking;travel;comfort,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Zumo XT GPS,9.72,Motorcycle,Tech,Tech,Electronics,Low,Yes,No,Rugged 5.5 motorcycle GPS with weather-resistant display and adventure routing,motorcycle;navigation;weatherproof;adventure,Good,,2025-08-19,,,,,,,,Vehicle,Motorcycle
Zippo Handwarmer,3,ARCHIVED,Comfort,Personal,Comfort,Low,No,No,Catalytic fuel-powered hand warmer providing 6-12 hours of flameless heat,warmth;catalytic;cold-weather;archived,Good,,2025-08-19,,,,,,,,Storage,Archived
Coffee Kit,35.27,MODULAR,Bag,Adventure,Storage,Low,Yes,No,Carabiner-attached modular coffee system with espresso container,all-season;coffee;coffee-module;modular,Good,,2025-08-19,,,,,,,,Storage,Modular system
Aeropress Go,10.97,Coffee Kit,Food,Adventure,Kitchen,Low,Yes,No,Portable espresso press with Brother metal filter adapter - no disposable filters needed,coffee;portable;travel;brewing;zero-waste,Good,,2025-08-19,,,,,,,,Storage,Coffee Kit
Jetboil,17,Coffee Kit,Food,Adventure,Kitchen,Low,Yes,No,Compact canister stove system for fast water boiling in field conditions,cooking;stove;boiling;camping,Good,,2025-08-19,,,,,,,,Storage,Coffee Kit
DJI Mic 3 System,45,Timbuk2 Waist Pack,Tech,Tech,Electronics,Medium,No,No,Wireless lavalier mic system with charging case and receiver,all-season;audio;video,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Anker Red Power Bank,12,Timbuk2 Waist Pack,Tech,Tech,Electronics,Medium,No,No,Backup battery with 2 USB outlets for field operations,all-season;backup;power,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Plastic Quart Espresso Container,2,Coffee Kit,Food,Adventure,Kitchen,Low,Yes,No,Pre-ground espresso storage for field brewing,all-season;coffee;storage,Good,,2025-08-19,,,,,,,,Storage,Coffee Kit
Meshtastic Lily T-Go,2.8,WLF Enduro Backpack,Tech,Tech,Electronics,Medium,No,No,Off-grid mesh networking device for emergency comms,all-season;communications;mesh,Good,,2025-08-19,,,,,,,,Storage,WLF Enduro Backpack
Miyoo Mini,4.2,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Low,No,No,Retro gaming handheld for downtime entertainment,all-season;entertainment;gaming,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Flipper Zero,4.5,HOME-BASE,Tech,Tech,Electronics,Low,No,No,Multi-tool for radio analysis and hardware research - sometimes carried,all-season;optional;research,Good,,2025-08-19,,,,,,,,Storage,Home base
XPro-3 (Backup),28.9,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,Backup camera body stored at home base,all-season;backup;photography,Good,,2025-08-19,,,,,,,,Storage,Home base
